City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
611,Viedma,AR,82.99,clear sky,-40.81,-63.0,
612,Nisia Floresta,BR,78.8,scattered clouds,-6.09,-35.21,
613,Kyabe,TD,79.38,broken clouds,9.45,18.94,
614,Alta Floresta,BR,75.76,light rain,-9.88,-56.09,
616,Emerald,AU,69.8,light rain,-23.53,148.17,
617,San Quintin,MX,69.76,overcast clouds,30.48,-115.95,
623,Waddan,LY,64.63,clear sky,29.16,16.14,
624,Aracoiaba,BR,81.75,few clouds,-4.37,-38.81,
625,Barra Do Garcas,BR,80.98,moderate rain,-15.89,-52.26,
626,Posse,BR,69.4,overcast clouds,-14.09,-46.37,
627,Bundaberg,AU,78.01,broken clouds,-24.85,152.35,
628,Hervey Bay,AU,77.0,few clouds,-25.3,152.85,
630,Koumac,NC,78.31,few clouds,-20.57,164.28,
631,Meadow Lake,US,75.99,broken clouds,34.8,-106.54,
634,Jacqueville,CI,80.6,few clouds,5.21,-4.41,
