City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Kursk,RU,51.73,36.19,53.35,88,100,9.24,light rain
240,Caravelas,BR,-17.71,-39.25,75.42,85,69,7.83,heavy intensity rain
241,Mayor Pablo Lagerenza,PY,-19.93,-60.77,100.17,29,58,4.74,broken clouds
242,Kulhudhuffushi,MV,6.62,73.07,82.38,73,99,8.25,light rain
243,Miri,MY,4.41,114.01,77.0,100,40,1.12,scattered clouds
244,Aljezur,PT,37.32,-8.8,59.5,77,33,4.36,scattered clouds
245,Charlestown,AU,-32.95,151.67,61.0,97,100,1.01,moderate rain
246,Iracoubo,GF,5.48,-53.2,83.03,74,61,13.56,light rain
247,Thurso,GB,58.59,-3.53,50.0,71,0,14.99,clear sky
248,Yeppoon,AU,-23.13,150.73,71.6,94,90,8.23,overcast clouds
249,Mackenzie,CA,55.3,-123.17,26.6,53,40,9.17,scattered clouds
250,Novyy Urgal,RU,51.07,132.56,31.75,93,7,5.64,clear sky
251,Victoria,HK,22.29,114.16,75.0,70,98,1.99,overcast clouds
252,Ouadda,CF,8.08,22.4,70.52,87,100,2.15,overcast clouds
253,Madison,US,34.73,-86.57,59.0,93,90,9.17,overcast clouds
254,Saint George,US,37.1,-113.58,80.01,31,1,3.36,clear sky
255,Gat,IL,31.61,34.76,78.8,74,40,4.7,scattered clouds
256,Emba,KZ,48.83,58.14,45.81,68,36,15.19,scattered clouds
257,Sioux Falls,US,43.55,-96.7,30.2,54,90,12.75,overcast clouds
258,Novonukutskiy,RU,53.7,102.71,38.34,94,100,11.1,moderate rain
259,Shwebo,MM,22.57,95.7,74.57,94,100,4.7,overcast clouds
260,Celestun,MX,20.87,-90.4,83.23,76,58,15.46,broken clouds
261,Beringovskiy,RU,63.05,179.32,30.69,96,100,15.37,overcast clouds
262,Velikiy Novgorod,RU,58.52,31.28,38.82,92,100,3.89,overcast clouds
263,Half Moon Bay,US,37.46,-122.43,68.0,68,75,5.82,broken clouds
264,Tuatapere,NZ,-46.13,167.68,72.0,57,96,17.0,overcast clouds
265,Port Lincoln,AU,-34.73,135.87,52.52,70,87,16.4,overcast clouds
266,Qeshm,IR,26.96,56.27,75.2,62,0,6.93,clear sky
267,Longyearbyen,SJ,78.22,15.64,21.2,79,75,3.36,broken clouds
268,Bjornevatn,NO,69.67,29.98,35.6,80,100,16.11,overcast clouds
269,Daru,PG,-9.08,143.21,78.94,86,99,6.73,overcast clouds
270,Coquimbo,CL,-29.95,-71.34,57.2,71,90,8.05,overcast clouds
271,Sibolga,ID,1.74,98.78,76.96,80,100,2.57,overcast clouds
272,Sao Joao Da Barra,BR,-21.64,-41.05,73.4,94,90,9.17,light rain
273,Kupang,ID,-10.17,123.58,77.0,94,20,2.24,few clouds
274,Maragogi,BR,-9.01,-35.22,76.48,83,24,9.4,few clouds
275,Lorengau,PG,-2.02,147.27,82.58,64,18,5.61,few clouds
276,Rosetta,EG,31.4,30.42,71.6,64,20,2.24,few clouds
277,Worthington,US,40.09,-83.02,48.99,70,90,11.41,overcast clouds
278,Naryan-Mar,RU,67.67,53.09,17.92,93,92,12.53,overcast clouds
279,Enid,US,36.4,-97.88,53.6,46,1,6.93,clear sky
280,Samarai,PG,-10.62,150.67,79.77,81,79,5.23,broken clouds
281,Lebyazhye,RU,55.27,66.49,36.55,96,100,14.88,light rain
282,Baffa,PK,34.44,73.22,58.5,35,0,5.55,clear sky
283,Thai Binh,VN,20.45,106.33,75.2,60,90,2.24,overcast clouds
284,Skjervoy,NO,70.03,20.97,39.9,82,100,11.21,light rain
285,Isangel,VU,-19.55,169.27,80.6,69,75,11.97,broken clouds
286,Mikuni,JP,36.22,136.15,50.0,87,40,3.36,scattered clouds
287,Santa Vitoria Do Palmar,BR,-33.52,-53.37,67.78,87,8,7.85,clear sky
288,Airai,TL,-8.93,125.41,61.09,100,6,0.98,clear sky
289,Marsh Harbour,BS,26.54,-77.06,80.38,79,94,12.57,moderate rain
290,Adrar,MR,20.5,-10.07,91.15,11,100,6.04,overcast clouds
291,Zhezkazgan,KZ,47.8,67.71,34.12,69,84,12.88,moderate rain
292,Tavares,US,28.8,-81.73,84.2,62,90,6.93,overcast clouds
293,Itarema,BR,-2.92,-39.92,80.02,79,0,16.44,clear sky
294,Lamar,US,33.67,-95.58,62.01,71,90,3.36,overcast clouds
295,Esperance,AU,-33.87,121.9,50.0,100,12,11.41,few clouds
296,Russkaya Polyana,UA,49.42,31.92,55.4,81,41,9.46,scattered clouds
297,Moron,AR,-34.65,-58.62,77.0,83,75,6.93,broken clouds
298,Lubao,PH,14.92,120.55,77.0,100,75,2.24,broken clouds
299,Peterhead,GB,57.51,-1.8,48.0,87,75,9.17,broken clouds
300,Narsaq,GL,60.92,-46.05,30.2,68,7,3.36,clear sky
301,Touros,BR,-5.2,-35.46,78.8,83,40,9.17,scattered clouds
302,Puerto Escondido,MX,15.85,-97.07,86.0,66,75,4.7,broken clouds
303,Basco,PH,20.45,121.97,78.98,84,100,31.56,light rain
304,Nishihara,JP,26.18,127.76,71.6,72,40,6.93,scattered clouds
305,Broken Hill,AU,-31.95,141.43,46.4,81,90,13.87,overcast clouds
306,Mathathane,BW,-22.27,28.75,77.76,33,0,14.88,clear sky
307,Karratha,AU,-20.74,116.85,64.54,87,0,9.46,light rain
308,Macomer,IT,40.26,8.77,59.0,87,0,1.12,clear sky
309,Burns Lake,CA,54.23,-125.75,29.12,81,0,1.95,clear sky
310,Camacupa,AO,-12.02,17.48,66.2,73,58,5.41,broken clouds
311,Riverton,US,40.52,-111.94,64.99,47,90,8.05,overcast clouds
312,Kosh-Agach,RU,50.0,88.67,16.39,82,1,4.47,clear sky
313,Linguere,SN,15.4,-15.12,91.47,15,82,7.61,broken clouds
314,Krasni Okny,UA,47.54,29.46,57.88,65,100,4.81,overcast clouds
315,Platteville,US,42.73,-90.48,43.0,64,40,3.36,scattered clouds
316,Shadrinsk,RU,56.09,63.63,35.89,96,100,9.66,light rain
317,Ambilobe,MG,-13.2,49.05,73.36,76,7,4.52,clear sky
318,Burnie,AU,-41.07,145.92,46.0,47,0,10.0,clear sky
319,Causapscal,CA,48.35,-67.23,42.01,36,45,11.39,scattered clouds
320,Sioux Lookout,CA,50.1,-91.92,28.4,58,75,3.36,broken clouds
321,Tomatlan,MX,19.93,-105.25,90.12,66,16,8.32,few clouds
322,Westport,US,41.14,-73.36,63.0,72,40,9.17,scattered clouds
323,Egvekinot,RU,66.32,-179.17,21.87,96,15,8.93,few clouds
324,Leningradskiy,RU,69.38,178.42,21.94,93,40,6.82,scattered clouds
325,Dzilam Gonzalez,MX,21.28,-88.93,83.28,75,30,10.54,scattered clouds
326,Luanda,AO,-8.84,13.23,77.0,78,40,6.93,scattered clouds
327,Khokhlovo,RU,59.15,37.4,30.2,100,75,2.24,broken clouds
328,Laibin,CN,23.7,109.27,66.42,55,97,5.03,overcast clouds
329,Doka,SD,13.52,35.77,80.91,44,0,8.46,clear sky
330,Nioro,GM,13.35,-15.75,83.66,53,30,4.09,scattered clouds
331,Santiago,CL,-33.46,-70.65,75.0,35,0,9.17,clear sky
332,Lufilufi,WS,-13.87,-171.6,87.8,84,75,9.17,broken clouds
333,Bonthe,SL,7.53,-12.51,79.54,81,88,4.32,overcast clouds
334,Sooke,CA,48.37,-123.73,46.0,42,20,10.29,few clouds
335,San Cristobal,VE,7.77,-72.22,91.4,52,40,14.99,scattered clouds
336,Bud,US,39.45,-86.18,53.01,50,1,6.93,clear sky
337,Alenquer,BR,-1.94,-54.74,87.8,58,0,8.05,clear sky
338,Dingle,PH,11.0,122.67,74.14,89,92,2.15,moderate rain
339,Acajutla,SV,13.59,-89.83,87.8,58,40,3.36,scattered clouds
340,Lianzhou,CN,24.78,112.38,61.66,63,99,2.04,overcast clouds
341,Mirnyy,RU,62.54,113.96,23.0,85,75,4.47,light shower snow
342,Bara,NG,10.37,10.73,79.41,33,90,4.99,overcast clouds
343,Road Town,VG,18.42,-64.62,86.0,74,40,13.87,scattered clouds
344,Hashtrud,IR,37.48,47.05,52.12,46,0,1.19,clear sky
345,Salinopolis,BR,-0.61,-47.36,81.01,76,74,10.71,broken clouds
346,Areka,ET,7.07,37.7,61.0,75,0,2.64,clear sky
347,Baruun-Urt,MN,46.68,113.28,33.42,85,98,6.31,overcast clouds
348,Metkovic,HR,43.05,17.65,53.6,93,75,2.24,broken clouds
349,Tautira,PF,-17.73,-149.15,84.2,70,75,6.93,broken clouds
350,Mukhen,RU,48.1,136.1,36.95,92,100,7.58,light rain
351,Puerto Maldonado,PE,-12.6,-69.18,98.6,42,40,8.05,scattered clouds
352,Yokadouma,CM,3.52,15.05,70.99,96,100,0.58,light rain
353,Lashio,MM,22.93,97.75,63.73,98,63,2.35,broken clouds
354,Akdagmadeni,TR,39.66,35.88,54.16,42,18,1.63,few clouds
355,Conceicao Do Araguaia,BR,-8.26,-49.26,83.64,67,100,4.61,light rain
356,Dauphin,CA,51.15,-100.05,28.4,46,90,10.29,overcast clouds
357,Nazas,MX,25.23,-104.13,89.11,17,0,3.89,clear sky
358,Methoni,GR,36.82,21.7,66.0,87,0,12.08,clear sky
359,Cedar City,US,37.68,-113.06,69.8,22,1,19.46,clear sky
360,Kaseda,JP,31.42,130.32,51.01,87,20,5.82,fog
361,Qarqin,AF,37.42,66.04,45.99,53,0,3.06,clear sky
