City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,San Cristobal,VE,2020-10-24 21:30:34,7.77,-72.22,87.8,58,40,9.17
163,Aykhal,RU,2020-10-24 21:32:57,66.0,111.5,10.4,92,40,4.47
164,Sao Domingos,BR,2020-10-24 21:32:58,-13.4,-46.32,72.0,84,94,3.56
165,Frutigen,CH,2020-10-24 21:32:58,46.59,7.65,48.99,88,22,5.93
166,Tevriz,RU,2020-10-24 21:32:59,57.51,72.4,26.71,93,100,12.01
167,Namibe,AO,2020-10-24 21:32:59,-15.2,12.15,68.52,80,76,7.7
168,Prince Rupert,CA,2020-10-24 21:32:59,54.32,-130.32,42.8,28,1,2.24
169,Dunedin,NZ,2020-10-24 21:30:24,-45.87,170.5,68.31,50,100,15.7
170,Douentza,ML,2020-10-24 21:33:00,15.0,-2.95,84.22,14,8,5.91
171,Nizhniy Kuranakh,RU,2020-10-24 21:33:01,58.84,125.49,19.74,96,15,1.12
172,Jashpurnagar,IN,2020-10-24 21:33:01,22.9,84.15,64.04,58,53,3.58
173,Bubaque,GW,2020-10-24 21:33:01,11.28,-15.83,82.99,80,24,11.86
174,Karratha,AU,2020-10-24 21:33:02,-20.74,116.85,64.26,88,0,9.44
175,Scharding,AT,2020-10-24 21:33:02,48.45,13.44,53.01,91,11,2.3
176,Yar-Sale,RU,2020-10-24 21:33:03,66.83,70.83,16.3,96,59,5.55
177,Rocha,UY,2020-10-24 21:33:03,-34.48,-54.33,62.6,95,19,6.29
178,Hervey Bay,AU,2020-10-24 21:23:20,-25.3,152.85,77.0,82,21,5.01
179,Meadow Lake,US,2020-10-24 21:23:21,34.8,-106.54,75.99,24,75,9.17
180,Grindavik,IS,2020-10-24 21:33:04,63.84,-22.43,42.8,70,75,26.4
181,Chapada Dos Guimaraes,BR,2020-10-24 21:33:05,-15.46,-55.75,77.0,83,40,8.05
182,Tasiilaq,GL,2020-10-24 21:33:05,65.61,-37.64,32.0,92,97,3.04
183,Saldanha,ZA,2020-10-24 21:33:06,-33.01,17.94,62.6,82,7,6.93
184,Geraldton,AU,2020-10-24 21:33:06,-28.77,114.6,51.8,87,0,6.93
185,Tooele,US,2020-10-24 21:31:01,40.53,-112.3,61.0,44,1,8.05
186,Margate,GB,2020-10-24 21:32:51,51.38,1.39,60.01,83,93,10.0
